age,sex,race,educ,state,weight
30-44,Female,White,College graduate,ND,40
65+,Female,White,College graduate,ND,34
45-65,Male,White,College graduate,ND,40
45-65,Male,White,College graduate,ND,8
45-65,Female,White,College graduate,ND,6
45-65,Male,White,No college degree,ND,8
45-65,Female,White,No college degree,ND,7
18-29,Male,White,No college degree,ND,18
45-65,Female,White,College graduate,ND,27
30-44,Male,White,College graduate,ND,26
30-44,Female,White,College graduate,ND,25
45-65,Female,White,College graduate,ND,22
65+,Male,White,College graduate,ND,19
45-65,Male,White,College graduate,ND,20
45-65,Female,White,College graduate,ND,21
45-65,Female,White,No college degree,ND,14
45-65,Male,White,No college degree,ND,25
45-65,Female,White,No college degree,ND,9
45-65,Male,White,No college degree,ND,18
45-65,Female,White,No college degree,ND,14
30-44,Male,White,College graduate,ND,24
30-44,Female,White,No college degree,ND,37
45-65,Male,White,College graduate,ND,27
45-65,Female,White,No college degree,ND,4
30-44,Male,White,No college degree,ND,1
45-65,Female,White,No college degree,ND,5
45-65,Male,White,No college degree,ND,5
45-65,Male,White,College graduate,ND,25
45-65,Female,White,College graduate,ND,23
65+,Male,White,No college degree,ND,8
65+,Female,White,No college degree,ND,9
18-29,Female,White,College graduate,ND,33
18-29,Male,White,College graduate,ND,35
65+,Male,White,No college degree,ND,3
45-65,Male,White,No college degree,ND,27
45-65,Female,White,College graduate,ND,23
65+,Female,White,No college degree,ND,55
45-65,Male,Other,No college degree,ND,8
45-65,Female,White,College graduate,ND,7
45-65,Male,White,No college degree,ND,4
45-65,Female,Asian,No college degree,ND,4
45-65,Male,White,College graduate,ND,40
65+,Female,White,No college degree,ND,8
45-65,Male,White,No college degree,ND,6
45-65,Female,White,No college degree,ND,4
45-65,Male,White,No college degree,ND,6
30-44,Female,White,No college degree,ND,5
45-65,Female,White,No college degree,ND,29
30-44,Male,White,College graduate,ND,6
30-44,Female,White,No college degree,ND,5
45-65,Male,White,No college degree,ND,18
45-65,Female,White,No college degree,ND,19
18-29,Male,White,No college degree,ND,33
65+,Female,White,No college degree,ND,37
45-65,Female,White,No college degree,ND,45
18-29,Male,Hispanic/Latino,No college degree,ND,51
18-29,Female,Hispanic/Latino,No college degree,ND,58
18-29,Female,White,No college degree,ND,25
45-65,Male,White,No college degree,ND,22
45-65,Female,White,No college degree,ND,19
30-44,Male,White,College graduate,ND,13
30-44,Female,White,College graduate,ND,12
45-65,Male,White,College graduate,ND,23
45-65,Female,White,College graduate,ND,32
45-65,Female,White,College graduate,ND,4
45-65,Male,White,College graduate,ND,4
65+,Male,White,College graduate,ND,18
45-65,Female,White,No college degree,ND,19
45-65,Female,White,College graduate,ND,22
45-65,Male,White,No college degree,ND,28
45-65,Male,White,No college degree,ND,29
45-65,Female,White,No college degree,ND,25
18-29,Male,White,No college degree,ND,35
18-29,Female,White,No college degree,ND,27
45-65,Female,Other,No college degree,ND,27
18-29,Male,White,No college degree,ND,16
45-65,Male,White,No college degree,ND,14
45-65,Female,White,College graduate,ND,12
18-29,Female,White,No college degree,ND,8
65+,Male,White,No college degree,ND,24
18-29,Female,White,No college degree,ND,39
45-65,Female,White,College graduate,ND,7
45-65,Male,White,College graduate,ND,10
18-29,Female,White,No college degree,ND,15
30-44,Male,White,No college degree,ND,13
45-65,Female,White,No college degree,ND,16
30-44,Female,Hispanic/Latino,No college degree,ND,8
65+,Male,Hispanic/Latino,College graduate,ND,5
18-29,Male,Asian,No college degree,ND,10
45-65,Female,White,No college degree,ND,8
45-65,Male,White,No college degree,ND,7
45-65,Male,White,College graduate,ND,5
45-65,Female,White,College graduate,ND,4
