age,sex,race,educ,state,weight
18-29,Female,White,College graduate,WV,29
30-44,Male,White,College graduate,WV,23
45-65,Female,White,No college degree,WV,40
18-29,Male,White,No college degree,WV,13
30-44,Male,White,No college degree,WV,6
30-44,Male,White,College graduate,WV,7
30-44,Female,White,No college degree,WV,8
45-65,Male,White,College graduate,WV,9
45-65,Female,White,College graduate,WV,11
30-44,Male,White,College graduate,WV,5
18-29,Female,White,College graduate,WV,23
30-44,Male,White,College graduate,WV,20
18-29,Female,White,No college degree,WV,51
18-29,Male,White,No college degree,WV,28
45-65,Female,White,No college degree,WV,17
65+,Male,White,College graduate,WV,5
65+,Female,White,College graduate,WV,4
65+,Male,White,No college degree,WV,17
65+,Female,White,No college degree,WV,15
45-65,Male,White,No college degree,WV,18
45-65,Female,White,College graduate,WV,20
45-65,Male,White,College graduate,WV,20
30-44,Female,White,No college degree,WV,11
30-44,Male,White,College graduate,WV,11
45-65,Male,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,24
65+,Male,White,College graduate,WV,25
65+,Male,White,College graduate,WV,77
30-44,Female,White,College graduate,WV,21
30-44,Male,White,College graduate,WV,22
65+,Male,White,College graduate,WV,18
65+,Female,White,College graduate,WV,19
45-65,Male,White,College graduate,WV,12
45-65,Female,White,College graduate,WV,9
45-65,Male,White,College graduate,WV,12
30-44,Female,White,College graduate,WV,14
18-29,Male,White,No college degree,WV,21
18-29,Female,White,No college degree,WV,16
18-29,Female,White,No college degree,WV,25
45-65,Female,White,No college degree,WV,13
45-65,Male,White,No college degree,WV,16
30-44,Female,White,College graduate,WV,30
30-44,Male,White,College graduate,WV,28
45-65,Male,White,College graduate,WV,25
65+,Female,Asian,College graduate,WV,9
30-44,Male,White,College graduate,WV,25
30-44,Female,White,No college degree,WV,21
65+,Male,White,No college degree,WV,23
45-65,Female,White,College graduate,WV,26
65+,Female,White,No college degree,WV,6
30-44,Male,Hispanic/Latino,No college degree,WV,39
18-29,Female,Hispanic/Latino,College graduate,WV,36
18-29,Male,Hispanic/Latino,College graduate,WV,31
45-65,Female,White,College graduate,WV,36
30-44,Female,White,College graduate,WV,16
45-65,Female,White,College graduate,WV,10
65+,Male,White,College graduate,WV,13
65+,Female,White,College graduate,WV,26
45-65,Female,White,College graduate,WV,57
45-65,Male,White,College graduate,WV,58
18-29,Female,White,No college degree,WV,165
45-65,Female,White,College graduate,WV,28
45-65,Male,White,College graduate,WV,23
